"date","QUANTITY"
2010-01-01,0
2010-01-02,135
2010-01-03,81
2010-01-04,97
2010-01-05,97
2010-01-06,104
2010-01-07,63
2010-01-08,28
2010-01-09,86
2010-01-10,105
2010-01-11,106
2010-01-12,91
2010-01-13,86
2010-01-14,79
2010-01-15,36
2010-01-16,89
2010-01-17,83
2010-01-18,69
2010-01-19,95
2010-01-20,93
2010-01-21,50
2010-01-22,35
2010-01-23,46
2010-01-24,70
2010-01-25,65
2010-01-26,71
2010-01-27,97
2010-01-28,47
2010-01-29,24
2010-01-30,89
2010-01-31,107
2010-02-01,78
2010-02-02,87
2010-02-03,63
2010-02-04,48
2010-02-05,29
2010-02-06,78
2010-02-07,110
2010-02-08,65
2010-02-09,74
2010-02-10,78
2010-02-11,62
2010-02-12,39
2010-02-13,104
2010-02-14,97
2010-02-15,64
2010-02-16,62
2010-02-17,114
2010-02-18,79
2010-02-19,45
2010-02-20,128
2010-02-21,81
2010-02-22,72
2010-02-23,66
2010-02-24,59
2010-02-25,36
2010-02-26,31
2010-02-27,111
2010-02-28,111
2010-03-01,57
2010-03-02,73
2010-03-03,61
2010-03-04,65
2010-03-05,28
2010-03-06,115
2010-03-07,104
2010-03-08,75
2010-03-09,75
2010-03-10,65
2010-03-11,54
2010-03-12,34
2010-03-13,120
2010-03-14,101
2010-03-15,91
2010-03-16,153
2010-03-17,155
2010-03-18,160
2010-03-19,32
2010-03-20,130
2010-03-21,101
2010-03-22,123
2010-03-23,106
2010-03-24,99
2010-03-25,115
2010-03-26,41
2010-03-27,174
2010-03-28,153
2010-03-29,127
2010-03-30,127
2010-03-31,98
2010-04-01,119
2010-04-02,39
2010-04-03,131
2010-04-04,0
2010-04-05,147
2010-04-06,121
2010-04-07,138
2010-04-08,95
2010-04-09,53
2010-04-10,182
2010-04-11,190
2010-04-12,145
2010-04-13,141
2010-04-14,176
2010-04-15,130
2010-04-16,44
2010-04-17,219
2010-04-18,182
2010-04-19,123
2010-04-20,137
2010-04-21,170
2010-04-22,82
2010-04-23,40
2010-04-24,149
2010-04-25,98
2010-04-26,106
2010-04-27,116
2010-04-28,104
2010-04-29,94
2010-04-30,29
2010-05-01,341
2010-05-02,85
2010-05-03,146
2010-05-04,199
2010-05-05,188
2010-05-06,231
2010-05-07,33
2010-05-08,320
2010-05-09,121
2010-05-10,185
2010-05-11,153
2010-05-12,165
2010-05-13,162
2010-05-14,39
2010-05-15,424
2010-05-16,203
2010-05-17,267
2010-05-18,333
2010-05-19,237
2010-05-20,236
2010-05-21,46
2010-05-22,660
2010-05-23,202
2010-05-24,219
2010-05-25,284
2010-05-26,349
2010-05-27,132
2010-05-28,51
2010-05-29,940
2010-05-30,538
2010-05-31,1606
2010-06-01,1179
2010-06-02,1324
2010-06-03,1566
2010-06-04,1431
2010-06-05,1855
2010-06-06,893
2010-06-07,1612
2010-06-08,1920
2010-06-09,1711
2010-06-10,1740
2010-06-11,1256
2010-06-12,1060
2010-06-13,531
2010-06-14,1204
2010-06-15,1275
2010-06-16,1135
2010-06-17,1081
2010-06-18,901
